model,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_ci95,cv_f1_macro_mean,cv_f1_macro_std,cv_f1_macro_ci95,test_accuracy,test_f1_macro
RF,0.6960338445267055,0.10201301402912068,0.14161676673381324,0.6944668318890534,0.10695127039004135,0.14847216558455828,0.6851851851851852,0.6796296296296296
GBM,0.6437334743521946,0.04603827140295632,0.06391136664425293,0.6414962205415081,0.046124387815830385,0.06403091539075362,0.6296296296296297,0.6227968110321052
SVM,0.6567424643046007,0.0685006376383749,0.09509413003699704,0.6492918438421801,0.07410048361553316,0.10286796251356835,0.6296296296296297,0.6228956228956228
DT,0.5719196192490745,0.04163737104395883,0.057801937514152024,0.5695559298069057,0.03790368742553131,0.05261875371078188,0.6296296296296297,0.6288860288860288
LR,0.5881015335801164,0.06820237670314837,0.09468007748015633,0.5809604538003085,0.070013280318609,0.09719401471972167,0.5185185185185185,0.5151515151515151
kNN,0.49016393442622946,0.013114754098360671,0.018206197411133124,0.4364075718555571,0.01852989227185244,0.02572361434901361,0.3888888888888889,0.3032015065913371
