model,cv_vsg_mae_mean,cv_vsg_mae_std,cv_vsg_mae_ci95,cv_vsl_mae_mean,cv_vsl_mae_std,cv_vsl_mae_ci95,test_vsg_mae,test_vsg_rmse,test_vsl_mae,test_vsl_rmse
RF,0.07221545502622326,0.004063717942521479,0.005641344895209114,0.31640607075267385,0.024333023089364806,0.033779651425565965,0.07480370278444347,0.08928125420830518,0.3451493886481097,0.4677314060515963
DT,0.08026549661889223,0.0018205118604085583,0.0025272756218929398,0.42070642321377577,0.044080426722895825,0.06119344250490717,0.07552861580554342,0.09299500160750061,0.44434408224168637,0.6308692583908576
SVM,0.07586691494667194,0.006397772794578916,0.008881532479838136,0.31796548973295746,0.030634770494803933,0.042527879294578165,0.07760565972443657,0.0946967061975702,0.35827704262826393,0.46707141250283646
GBM,0.0737051641499092,0.0058320144967867835,0.008096134051523133,0.3330999540088742,0.03791814383799407,0.05263882242859236,0.07834565170432618,0.09405814423424892,0.37970028737203937,0.5010006505956481
kNN,0.08188503990079989,0.008066735657931791,0.01119842436619463,0.3767854215823082,0.030352808623465618,0.04213645346581332,0.08257704868236243,0.09978304297273545,0.4525929404280423,0.5373860283837699
LR,0.2386910140514374,0.026971140721878804,0.03744194581943071,1.1783401250839234,0.1552930597471227,0.21558132780304406,0.35659554600715637,0.4519756802772219,2.3674726486206055,3.5283326107331336
